split,train_start,train_end,test_start,test_end,test_bars,total_return,volatility,sharpe_ratio,max_drawdown,trades
1,2025-04-26 02:07:26.292261,2025-05-28 14:06:26.292261,2025-05-28 14:07:26.292261,2025-06-05 17:06:26.292261,11700,4.285201084174787,1.2795672613762055,11.571025460374097,-0.2098905293947756,1
2,2025-05-04 05:07:26.292261,2025-06-05 17:06:26.292261,2025-06-05 17:07:26.292261,2025-06-13 20:06:26.292261,11700,0.865972997213114,1.2773738294247097,4.740995698390043,-0.4838509463113623,56
3,2025-05-12 08:07:26.292261,2025-06-13 20:06:26.292261,2025-06-13 20:07:26.292261,2025-06-21 23:06:26.292261,11700,1.8774403431389768,1.2720229705920076,7.6162499586242305,-0.21410377048333684,1
4,2025-05-20 11:07:26.292261,2025-06-21 23:06:26.292261,2025-06-21 23:07:26.292261,2025-06-30 02:06:26.292261,11700,-0.4153858145705359,1.2638353887085412,-2.9361616623154734,-0.587573895999614,83
5,2025-05-28 14:07:26.292261,2025-06-30 02:06:26.292261,2025-06-30 02:07:26.292261,2025-07-08 05:06:26.292261,11700,3.1848945875067765,1.276060470488918,10.062271365459273,-0.25025992256649293,1
6,2025-06-05 17:07:26.292261,2025-07-08 05:06:26.292261,2025-07-08 05:07:26.292261,2025-07-16 08:06:26.292261,11700,1.173264410473835,1.2731618111737384,5.758368251943556,-0.1849296768802497,1
7,2025-06-13 20:07:26.292261,2025-07-16 08:06:26.292261,2025-07-16 08:07:26.292261,2025-07-24 11:06:26.292261,11700,1.0734868695691082,1.27238128143803,5.450786311657368,-0.28070589742772434,28
8,2025-06-21 23:07:26.292261,2025-07-24 11:06:26.292261,2025-07-24 11:07:26.292261,2025-08-01 14:06:26.292261,11700,-0.4805111678343178,1.28990481096669,-3.620096948291432,-0.7106646671953879,91
9,2025-06-30 02:07:26.292261,2025-08-01 14:06:26.292261,2025-08-01 14:07:26.292261,2025-08-09 17:06:26.292261,11700,0.8674721438263067,1.281639282837088,4.734712089833324,-0.3349094547494522,13
10,2025-07-08 05:07:26.292261,2025-08-09 17:06:26.292261,2025-08-09 17:07:26.292261,2025-08-17 20:06:26.292261,11700,0.12167464435139341,1.279038945471844,1.3936027992210296,-0.5344274611679478,53
11,2025-07-16 08:07:26.292261,2025-08-17 20:06:26.292261,2025-08-17 20:07:26.292261,2025-08-25 23:06:26.292261,11700,-0.10991998122260827,1.2748941918355678,-0.12985120024706764,-0.5755223046003983,116
12,2025-07-24 11:07:26.292261,2025-08-25 23:06:26.292261,2025-08-25 23:07:26.292261,2025-09-03 02:06:26.292261,11700,0.1558613725468918,1.2881702749611874,1.588720534029016,-0.2889941539230919,10
13,2025-08-01 14:07:26.292261,2025-09-03 02:06:26.292261,2025-09-03 02:07:26.292261,2025-09-11 05:06:26.292261,11700,1.6690642615359947,1.2943229293521339,7.019166121444731,-0.2029070092678585,1
14,2025-08-09 17:07:26.292261,2025-09-11 05:06:26.292261,2025-09-11 05:07:26.292261,2025-09-19 08:06:26.292261,11700,1.005839078522404,1.2790122041544851,5.211247344193085,-0.4095957952052092,21
15,2025-08-17 20:07:26.292261,2025-09-19 08:06:26.292261,2025-09-19 08:07:26.292261,2025-09-27 11:06:26.292261,11700,0.7932441294738379,1.2760991159730577,4.482774939655066,-0.26815936114950073,19
16,2025-08-25 23:07:26.292261,2025-09-27 11:06:26.292261,2025-09-27 11:07:26.292261,2025-10-05 14:06:26.292261,11700,2.3574899378956102,1.2803484538589627,8.587367477919562,-0.30103546513781293,1
17,2025-09-03 02:07:26.292261,2025-10-05 14:06:26.292261,2025-10-05 14:07:26.292261,2025-10-13 17:06:26.292261,11700,1.6185177294384583,1.268465904500653,7.009512542788795,-0.20788885871681842,1
18,2025-09-11 05:07:26.292261,2025-10-13 17:06:26.292261,2025-10-13 17:07:26.292261,2025-10-21 20:06:26.292261,11700,1.7554872045122525,1.267514019999192,7.351651275730353,-0.23919967924525778,1
